ticker,name,sector
ABBEYBANK,Abbey Mortgage Bank Plc,FINANCIAL SERVICES
ABCTRANS,ABC Transport Plc,SERVICES
ACADEMY,Academy Press Plc,SERVICES
ACCESSCORP,Access Holdings Plc,FINANCIAL SERVICES
AFRIPRUD,Africa Prudential Plc,FINANCIAL SERVICES
AFRINSURE,African Alliance Insurance Plc,FINANCIAL SERVICES
AFROMEDIA,Afromedia Plc,SERVICES
AIICO,AIICO Insurance Plc,FINANCIAL SERVICES
AIRTELAFRI,Airtel Africa Plc,ICT
ALEX,Aluminium Extrusion Industries Plc,NATURAL RESOURCES
ARADEL,Aradel Holdings Plc,OIL AND GAS
AUSTINLAZ,Austin Laz & Company Plc,INDUSTRIAL GOODS
AVACAP,AVA Capital Plc,FINANCIAL SERVICES
AVAIF,AVA Infrastructure Fund,CONSTRUCTION/REAL ESTATE
MANSARD,AXA Mansard Insurance Plc,FINANCIAL SERVICES
BERGER,Berger Paints Nigeria Plc,INDUSTRIAL GOODS
BETAGLAS,Beta Glass Plc,INDUSTRIAL GOODS
BAPLC,Briclinks Africa Plc,ICT
BUACEMENT,BUA Cement Plc,INDUSTRIAL GOODS
BUAFOODS,BUA Foods Plc,CONSUMER GOODS
CILEASING,C&I Leasing Plc,SERVICES
CADBURY,Cadbury Nigeria Plc,CONSUMER GOODS
CAVERTON,Caverton Offshore Support Group Plc,SERVICES
CHAMPION,Champion Breweries Plc,CONSUMER GOODS
CHAMS,Chams Holding Company Plc,ICT
CHELLARAM,Chellarams Plc,CONGLOMERATES
CAP,Chemical and Allied Products Plc,INDUSTRIAL GOODS
CONOIL,Conoil Plc,OIL AND GAS
CONHALLPLC,Consolidated Hallmark Holdings Plc,FINANCIAL SERVICES
CORNERST,Cornerstone Insurance Plc,FINANCIAL SERVICES
CNIF,Coronation Infrastructure Fund,CONSTRUCTION/REAL ESTATE
WAPIC,Coronation Insurance Plc,FINANCIAL SERVICES
CUSTODIAN,Custodian Investment Plc,CONGLOMERATES
CUTIX,Cutix Plc,INDUSTRIAL GOODS
CWG,CWG Plc,ICT
DAARCOMM,DAAR Communications Plc,SERVICES
DANGCEM,Dangote Cement Plc,INDUSTRIAL GOODS
DANGSUGAR,Dangote Sugar Refinery Plc,CONSUMER GOODS
CMFC,DEAP Capital Management & Trust Plc,FINANCIAL SERVICES
ETI,Ecobank Transnational Incorporated,FINANCIAL SERVICES
EKOCORP,Eko Corporation Plc,HEALTHCARE
ELLAHLAKES,Ellah Lakes Plc,AGRICULTURE
ENAMELWA,Enamelware Nigeria Plc,CONSUMER GOODS
ETERNA,Eterna Plc,OIL AND GAS
ETRANZACT,eTranzact International Plc,ICT
EUNISELL,Eunisell Interlinked Plc,SERVICES
FCMB,FCMB Group Plc,FINANCIAL SERVICES
FIDELITYBK,Fidelity Bank Plc,FINANCIAL SERVICES
FIDSON,Fidson Healthcare Plc,HEALTHCARE
FIRSTHOLDCO,First HoldCo Plc,FINANCIAL SERVICES
FTGINSURE,Fortis Global Insurance Plc,FINANCIAL SERVICES
FTNCOCOA,FTN Cocoa Processors Plc,AGRICULTURE
GEREGU,Geregu Power Plc,UTILITIES
GOLDBREW,Golden Guinea Breweries Plc,CONSUMER GOODS
GTCO,Guaranty Trust Holding Company Plc,FINANCIAL SERVICES
GUINEAINS,Guinea Insurance Plc,FINANCIAL SERVICES
GUINNESS,Guinness Nigeria Plc,CONSUMER GOODS
HMCALL,Haldane McCall Plc,CONSTRUCTION/REAL ESTATE
HBMNG,HBM Nigeria Plc,INDUSTRIAL GOODS
HONYFLOUR,Honeywell Flour Mills Plc,CONSUMER GOODS
IKEJAHOTEL,Ikeja Hotel Plc,SERVICES
IMG,Industrial and Medical Gases Nigeria Plc,NATURAL RESOURCES
INFINITY,Infinity Trust Mortgage Bank Plc,FINANCIAL SERVICES
INTBREW,International Breweries Plc,CONSUMER GOODS
INTENEGINS,International Energy Insurance Plc,FINANCIAL SERVICES
JAIZBANK,Jaiz Bank Plc,FINANCIAL SERVICES
JAPAULGOLD,Japaul Gold & Ventures Plc,OIL AND GAS
JOHNHOLT,John Holt Plc,CONGLOMERATES
JULI,Juli Plc,SERVICES
JBERGER,Julius Berger Nigeria Plc,CONSTRUCTION/REAL ESTATE
LASACO,LASACO Assurance Plc,FINANCIAL SERVICES
LEARNAFRCA,Learn Africa Plc,SERVICES
LEGENDINT,Legend Internet Plc,ICT
LINKASSURE,Linkage Assurance Plc,FINANCIAL SERVICES
LIVESTOCK,Livestock Feeds Plc,AGRICULTURE
LIVINGTRUST,LivingTrust Mortgage Bank Plc,FINANCIAL SERVICES
MAYBAKER,May & Baker Nigeria Plc,HEALTHCARE
MCNICHOLS,McNichols Consolidated Plc,CONSUMER GOODS
MECURE,MeCure Industries Plc,HEALTHCARE
MEYER,Meyer Plc,INDUSTRIAL GOODS
MOFIREIF,MOFI Real Estate Investment Fund,CONSTRUCTION/REAL ESTATE
MORISON,Morison Industries Plc,HEALTHCARE
MTNN,MTN Nigeria Communications Plc,ICT
MULTITREX,Multi-Trex Integrated Foods Plc,CONSUMER GOODS
MULTIVERSE,Multiverse Mining and Exploration Plc,NATURAL RESOURCES
MBENEFIT,Mutual Benefits Assurance Plc,FINANCIAL SERVICES
NASCON,NASCON Allied Industries Plc,CONSUMER GOODS
NCR,NCR (Nigeria) Plc,ICT
NEIMETH,Neimeth International Pharmaceuticals Plc,HEALTHCARE
NEM,NEM Insurance Plc,FINANCIAL SERVICES
NESTLE,Nestle Nigeria Plc,CONSUMER GOODS
NIDF,Nigeria Infrastructure Debt Fund,CONSTRUCTION/REAL ESTATE
NREIT,Nigeria Real Estate Investment Trust,CONSTRUCTION/REAL ESTATE
NAHCO,Nigerian Aviation Handling Company Plc,SERVICES
NB,Nigerian Breweries Plc,CONSUMER GOODS
NGXGROUP,Nigerian Exchange Group Plc,FINANCIAL SERVICES
NNFM,Northern Nigeria Flour Mills Plc,CONSUMER GOODS
NPFMCRFBK,NPF Microfinance Bank Plc,FINANCIAL SERVICES
OANDO,Oando Plc,OIL AND GAS
OKOMUOIL,Okomu Oil Palm Plc,AGRICULTURE
OMATEK,Omatek Ventures Plc,ICT
PHARMDEKO,Pharma-Deko Plc,HEALTHCARE
PREMPAINTS,Premier Paints Plc,INDUSTRIAL GOODS
PRESCO,Presco Plc,AGRICULTURE
PRESTIGE,Prestige Assurance Plc,FINANCIAL SERVICES
PZ,PZ Cussons Nigeria Plc,CONSUMER GOODS
REDSTAREX,Red Star Express Plc,SERVICES
REGALINS,Regency Alliance Insurance Plc,FINANCIAL SERVICES
RONCHESS,Ronchess Global Resources Plc,CONSTRUCTION/REAL ESTATE
ROYALEX,Royal Exchange Plc,FINANCIAL SERVICES
RTBRISCOE,RT Briscoe Nigeria Plc,SERVICES
SCOA,SCOA Nigeria Plc,CONGLOMERATES
NSLTECH,Secure Electronic Technology Plc,SERVICES
SEPLAT,Seplat Energy Plc,OIL AND GAS
SFSREIT,SFS Real Estate Investment Trust Fund,CONSTRUCTION/REAL ESTATE
SKYAVN,Skyway Aviation Handling Company Plc,SERVICES
SOVRENINS,Sovereign Trust Insurance Plc,FINANCIAL SERVICES
STACO,Staco Insurance Plc,FINANCIAL SERVICES
STANBIC,Stanbic IBTC Holdings Plc,FINANCIAL SERVICES
STERLINGNG,Sterling Financial Holdings Company Plc,FINANCIAL SERVICES
SUNUASSUR,Sunu Assurances Nigeria Plc,FINANCIAL SERVICES
TANTALIZER,Tantalizers Plc,SERVICES
TIP,The Initiates Plc,SERVICES
THOMASWY,Thomas Wyatt Nigeria Plc,NATURAL RESOURCES
TOTAL,TotalEnergies Marketing Nigeria Plc,OIL AND GAS
TRANSEXPR,Trans-Nationwide Express Plc,SERVICES
TRANSCOHOT,Transcorp Hotels Plc,SERVICES
TRANSPOWER,Transcorp Power Plc,UTILITIES
TRANSCORP,Transnational Corporation Plc,CONGLOMERATES
TRIPPLEG,Tripple Gee & Company Plc,INDUSTRIAL GOODS
UACN,UAC of Nigeria Plc,CONGLOMERATES
UHOMREIT,UH Real Estate Investment Trust,CONSTRUCTION/REAL ESTATE
UNILEVER,Unilever Nigeria Plc,CONSUMER GOODS
UNIONDICON,Union Dicon Salt Plc,CONSUMER GOODS
UBA,United Bank for Africa Plc,FINANCIAL SERVICES
UCAP,United Capital Plc,FINANCIAL SERVICES
UNITYBNK,Unity Bank Plc,FINANCIAL SERVICES
UNIVINSURE,Universal Insurance Plc,FINANCIAL SERVICES
UPL,University Press Plc,SERVICES
UPDC,UPDC Plc,CONSTRUCTION/REAL ESTATE
UPDCREIT,UPDC Real Estate Investment Trust,CONSTRUCTION/REAL ESTATE
VERITASKAP,Veritas Kapital Assurance Plc,FINANCIAL SERVICES
VFDGROUP,VFD Group Plc,INVESTMENT
VITAFOAM,Vitafoam Nigeria Plc,CONSUMER GOODS
WEMABANK,Wema Bank Plc,FINANCIAL SERVICES
ZENITHBANK,Zenith Bank Plc,FINANCIAL SERVICES
ZICHIS,Zichis Agro Allied Industries Plc,AGRICULTURE
